reporterISO,partnerISO,period,cmdCode,flowDesc,qty,primaryValue
ITA,DEU,202001,CPA24,Export,11525,36540.9
DEU,USA,202001,CPA24,Export,15772,64978.78
USA,CHN,202001,CPA24,Export,18662,94656.24
CHN,ITA,202001,CPA24,Import,13643,38717.97
ITA,DEU,202002,CPA24,Export,12572,39906.15
DEU,USA,202002,CPA24,Export,15979,63014.66
USA,CHN,202002,CPA24,Export,20011,98376.35
CHN,ITA,202002,CPA24,Import,15450,43407.43
ITA,DEU,202003,CPA24,Export,14135,44485.71
DEU,USA,202003,CPA24,Export,16441,67977.31
USA,CHN,202003,CPA24,Export,18214,92954.97
CHN,ITA,202003,CPA24,Import,16497,47492.83
ITA,DEU,202004,CPA24,Export,14047,44786.36
DEU,USA,202004,CPA24,Export,17919,75440.57
USA,CHN,202004,CPA24,Export,20775,103888.28
CHN,ITA,202004,CPA24,Import,15678,42548.27
ITA,DEU,202005,CPA24,Export,14335,43381.1
DEU,USA,202005,CPA24,Export,16828,69278.33
USA,CHN,202005,CPA24,Export,21203,110684.06
CHN,ITA,202005,CPA24,Import,16576,46074.54
ITA,DEU,202006,CPA24,Export,13893,43055.41
DEU,USA,202006,CPA24,Export,17840,72857.87
USA,CHN,202006,CPA24,Export,19704,96945.99
CHN,ITA,202006,CPA24,Import,15711,43558.83
ITA,DEU,202007,CPA24,Export,14532,45667.47
DEU,USA,202007,CPA24,Export,16663,68366.21
USA,CHN,202007,CPA24,Export,19992,100098.31
CHN,ITA,202007,CPA24,Import,15233,42030.31
ITA,DEU,202008,CPA24,Export,12836,39547.02
DEU,USA,202008,CPA24,Export,16763,70419.66
USA,CHN,202008,CPA24,Export,19509,96182.75
CHN,ITA,202008,CPA24,Import,15314,42385.4
ITA,DEU,202009,CPA24,Export,12798,42351.25
DEU,USA,202009,CPA24,Export,17270,69547.18
USA,CHN,202009,CPA24,Export,20609,101915.48
CHN,ITA,202009,CPA24,Import,15707,44379.77
ITA,DEU,202010,CPA24,Export,14722,48900.03
DEU,USA,202010,CPA24,Export,18935,77150.51
USA,CHN,202010,CPA24,Export,20847,104494.54
CHN,ITA,202010,CPA24,Import,16630,45709.29
