index;typeCode;freqCode;refPeriodId;refYear;refMonth;period;reporterCode;reporterISO;reporterDesc;flowCode;flowDesc;partnerCode;partnerISO;partnerDesc;partner2Code;partner2ISO;partner2Desc;classificationCode;classificationSearchCode;isOriginalClassification;cmdCode;cmdDesc;aggrLevel;isLeaf;customsCode;customsDesc;mosCode;motCode;motDesc;qtyUnitCode;qtyUnitAbbr;qty;isQtyEstimated;altQtyUnitCode;altQtyUnitAbbr;altQty;isAltQtyEstimated;netWgt;isNetWgtEstimated;grossWgt;isGrossWgtEstimated;cifvalue;fobvalue;primaryValue;legacyEstimationFlag;isReported;isAggregate
15585;C;M;20250101;2025;1;202501;203;CZE;Czechia;M;Import;705;SVN;Slovenia;705;SVN;Slovenia;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;4749.495146;False;-1;;0;False;0;True;0;False;0;5954.736206;5838.487274;4;False;True
3120;C;M;20250101;2025;1;202501;70;BIH;Bosnia Herzegovina;M;Import;834;TZA;United Rep. of Tanzania;0;W00;World;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;5.964838231;False;-1;;0;False;0;False;0;False;0;8814.850114;408.5779;0;False;True
43110;C;M;20250101;2025;1;202501;620;PRT;Portugal;X;Export;724;ESP;Spain;36;AUS;Australia;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;8386.509689;False;-1;;0;False;0;True;0;False;0;6436.507927;7929.322201;4;False;True
22231;C;M;20250101;2025;1;202501;246;FIN;Finland;X;Export;480;MUS;Mauritius;0;W00;World;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;1036.321717;False;-1;;0;False;0;True;0;False;0;4446.870744;1961.851146;4;False;True
2527;C;M;20250101;2025;1;202501;70;BIH;Bosnia Herzegovina;M;Import;300;GRC;Greece;100;BGR;Bulgaria;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;5152.595024;False;-1;;0;False;0;False;0;False;0;9531.286886;6225.311504;0;False;True
33668;C;M;20250101;2025;1;202501;276;DEU;Germany;M;Import;490;S19;Other Asia, nes;784;ARE;United Arab Emirates;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;577.657475;False;-1;;0;False;0;True;0;False;0;4993.116731;6742.80062;4;False;True
98401;C;M;20250101;2025;1;202501;792;TUR;Türkiye;M;Import;104;MMR;Myanmar;752;SWE;Sweden;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;7932.535968;False;-1;;0;False;0;False;0;False;0;8825.564948;6124.261598;0;False;True
14783;C;M;20250101;2025;1;202501;203;CZE;Czechia;M;Import;446;MAC;China, Macao SAR;620;PRT;Portugal;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;4006.458931;False;-1;;0;False;0;True;0;False;0;7847.233646;5751.677409;4;False;True
37535;C;M;20250101;2025;1;202501;442;LUX;Luxembourg;M;Import;316;GUM;Guam;251;FRA;France;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;8312.300257;False;-1;;0;False;0;False;0;False;0;9277.326967;301.3300375;0;False;True
76497;C;M;20250101;2025;1;202501;699;IND;India;M;Import;360;IDN;Indonesia;156;CHN;China;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;8152.172398;False;-1;;0;False;0;True;0;False;0;2436.295914;5811.948234;4;False;True
37499;C;M;20250101;2025;1;202501;442;LUX;Luxembourg;M;Import;0;W00;World;484;MEX;Mexico;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;7575.976143;False;-1;;0;False;0;False;0;False;0;3709.144552;683.2621607;0;False;True
20980;C;M;20250101;2025;1;202501;246;FIN;Finland;X;Export;56;BEL;Belgium;704;VNM;Viet Nam;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;8124.749158;False;-1;;0;False;0;True;0;False;0;5967.105806;2047.889829;4;False;True
70901;C;M;20250101;2025;1;202501;688;SRB;Serbia;M;Import;344;HKG;China, Hong Kong SAR;208;DNK;Denmark;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;8719.293941;False;-1;;0;False;0;False;0;False;0;5818.375493;1940.114243;0;False;True
44346;C;M;20250101;2025;1;202501;620;PRT;Portugal;X;Export;380;ITA;Italy;120;CMR;Cameroon;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;1151.635079;False;-1;;0;False;0;False;0;False;0;118.8387635;2516.639737;0;False;True
42919;C;M;20250101;2025;1;202501;620;PRT;Portugal;M;Import;188;CRI;Costa Rica;0;W00;World;H6;HS;True;TOTAL;All Commodities;0;False;C00;TOTAL CPC;0;0;TOTAL MOT;-1;;7016.055554;False;-1;;0;False;0;True;0;False;0;1195.198716;4968.481481;4;False;True
